,Séquentiel,SID,Heure de soumission,Heure de complétion,Heure de modification,Brouillon,Adresse IP,UID,Nom d'utilisateur,"Quelle est votre structure d'appartenance (DREAL, DDT, DRAAF...) ?",Dans quel service travaillez-vous ?,Pour la réalisation de mes missions j'ai besoin d'accèder aux données et/ou de les visualiser,Souhaiteriez-vous suivre une formation sur un outil d'accès ou de visualisation de données ?,je fais une demande au service compétent,"je sais où trouver la donnée (données internes, extérieures, open data…)","je connais les formats de données, je sais choisir l’outil pour ouvrir la donnée","Outil web intéractif, type tableau de bord","Plateforme web d’accès aux données (géo-ide, DataGrandEst, Observatoires….)","Calc, Excel",QGis,Infocentre (Business object),Access,Metabase,pgAdmin,Beyond,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?,"Si oui, lequel/lesquels et pour quelles utilisations ?","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour accéder aux données ou les visualiser ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'ai besoin de réaliser des traitements sur les données,Souhaiteriez-vous suivre une formation sur un outil de traitement de données ?,je sais produire de la donnée,je sais mettre en qualité les données récupérées,"je sais croiser des données (avec des référentiels, données métier …)",Je sais réaliser des analyses,"Calc, Excel.1",QGis.1,Map info,ArcGIS,Infocentre (Business object).1,SAS,Access.1,R,Python,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.1,"Si oui, lequel/lesquels et pour quelles utilisations ?.1","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour faire du traitement de données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de la gestion et de l'administration de données,Souhaiteriez-vous suivre une formation sur un outil de gestion et d'administration de données ?,je sais structurer les données pour les intégrer à une base de données,je sais créer une base de données,"je sais gérer une base de données (arborescente, relationnelle…)","Je sais administrer un serveur de base de données (gestion des droits utilisateurs, capacité….)","Calc, Excel.2",QGis.2,Asgard (module QGis),Access.2,"pgAdmin, pSQL (postgre/postgis)",MySQL,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.2,"Si oui, lequel/lesquels et pour quelles utilisations ?.2","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et administrer les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions j'administre des outils de visualisation de données,Souhaiteriez-vous suivre une formation sur un outil de visualisation de données ?,"Calc, Excel.3",Infocentre (Business object).2,Access.3,DataGrandEst,Géo-IDE carto,Apache Superset,Metabase et outils similaires,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.3,"Si oui, lequel/lesquels et pour quelles utilisations ?.3","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour visualiser les données ? Si oui, lequel/lesquels ?",Pour la réalisation de mes missions je fais de l'automatisation (par exemple pour le traitement de données,Souhaiteriez-vous suivre une formation sur un langage d'automatisation de traitements ?,je sais utiliser des scripts existants,"je sais adapter des scripts existants (nouvelles données, nouveau traitement)",je sais créer des scripts,"Calc, Excel (macros)","Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …)",R (RStudio...),"pgAdmin, pSQL (postgre/postgis).1",GitLab,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.4,"Si oui, lequel/lesquels et pour quelles utilisations ?.4","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour automatiser les traitements de données ? Si oui, lequel/lesquels ?","Pour la réalisation de mes missions, je développe des applications (web, locale, ...) et des scripts, y compris en mode gestion de projet",Souhaiteriez-vous suivre une formation sur un outil ou langage de développement d'applications ?,je sais développer des applications ou des scripts,je sais gérer un projet de développement,"Python (PyCharm, Jupyter, Spyder, Anaconda, VS CODE, Qgis, …).1","RShiny (RStudio, Golem, …)",Javascript,Access.4,QGis (developpement de plugin),Taïga : outil agile,GitLab.1,RedMine (ticketing),Resana,Souhaiteriez-vous suivre une formation sur un des outils ci-dessus ?.5,"Si oui, lequel/lesquels et pour quelles utilisations ?.5","Utilisez-vous un outil qui n'est pas dans liste ci-dessus pour gérer et admnistrer les données ? Si oui, lequel/lesquels ?",Inscrivez-vous pour être tenu au courant de l'avancée du projet
47,55,14323472,08/12/2022 - 16:23,08/12/2022 - 16:23,08/12/2022 - 16:23,0,0.0.0.0,0,Anonymous,DREAL,SPRA,Oui,,,X,,jamais utilisé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Oui,,,,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
48,56,14324866,08/12/2022 - 17:33,08/12/2022 - 17:33,08/12/2022 - 17:33,0,0.0.0.0,0,Anonymous,DREAL,SPRA,Oui,,,X,X,avancé,débutant,avancé,avancé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,Non,,RStudio,Oui,,X,X,X,X,avancé,avancé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,débutant,avancé,débutant,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Oui,,,X,X,avancé,débutant,avancé,débutant,débutant,Non,,,Non,Non,,,,,,,,,,,,,,,1
49,57,14329346,09/12/2022 - 08:08,09/12/2022 - 08:08,09/12/2022 - 08:08,0,0.0.0.0,0,Anonymous,DREAL,UD,Oui,,X,,,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
50,58,14330513,09/12/2022 - 09:25,09/12/2022 - 09:25,09/12/2022 - 09:25,0,0.0.0.0,0,Anonymous,DREAL,STECCLA,Oui,,,X,,débutant,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"QGIS,Access,;les autres je ne les connais pas",,Non,Oui,,,,,,,,,,,,,,,,,Oui,,X,X,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Qgis,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
51,59,14330876,09/12/2022 - 09:41,09/12/2022 - 09:41,09/12/2022 - 09:41,0,0.0.0.0,0,Anonymous,DDT88,SE,Oui,,X,,X,débutant,jamais utilisé,avancé,avancé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,"géo-ide,DataGrandEst,Observatoires,;autres selon utilité",,Oui,,X,X,X,,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;à voir selon utilité sur mon poste,,Non,Non,,,,,,,,,,,,,,Oui,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,;selon utilité sur mon poste,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
52,60,14331070,09/12/2022 - 09:51,09/12/2022 - 09:51,09/12/2022 - 09:51,0,0.0.0.0,0,Anonymous,DREAL,SCDD,Oui,,X,X,X,avancé,avancé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,Non,,,Oui,,X,X,X,X,débutant,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,,,débutant,avancé,débutant,débutant,débutant,jamais utilisé,Non,,,Oui,,débutant,jamais utilisé,débutant,avancé,avancé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
53,61,14331873,09/12/2022 - 10:25,09/12/2022 - 10:25,09/12/2022 - 10:25,0,0.0.0.0,0,Anonymous,DDT88,SCTS,Oui,,,X,X,avancé,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,,avancé,avancé,avancé,jamais utilisé,avancé,jamais utilisé,Non,,,Oui,,avancé,jamais utilisé,jamais utilisé,avancé,avancé,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
54,62,14334049,09/12/2022 - 11:39,09/12/2022 - 11:39,09/12/2022 - 11:39,0,0.0.0.0,0,Anonymous,DDT,ERC,Oui,,,,,avancé,avancé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,avancé,jamais utilisé,Non,,R,Oui,,X,X,X,X,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,Oui,"Python;pour PsotgreSQL / QGis (automatisations),R;Shiny/RMarkDown",,Oui,,X,X,X,X,avancé,avancé,jamais utilisé,jamais utilisé,avancé,débutant,Oui,Postgre/PostGIS;développer mes compétences,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,avancé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,débutant,débutant,débutant,débutant,jamais utilisé,Oui,"Calc,Python,R,psql",,Oui,,X,,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,"Python;automatisations/interfaçage entre applications/publication web/développement d'outils interactifs,RShiny;automatisations/interfaçage entre applications/publication web/développement d'outils interactifs",,
55,63,14334315,09/12/2022 - 11:48,09/12/2022 - 11:48,09/12/2022 - 11:48,0,0.0.0.0,0,Anonymous,DREAL,SEE,Oui,,,X,,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS;déterminer facilement les zones sensibles d'un territoire impactées par un document d'urbanisme,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
56,64,14334336,09/12/2022 - 11:49,09/12/2022 - 11:49,09/12/2022 - 11:49,0,0.0.0.0,0,Anonymous,DDT88,SEAF,Oui,,X,X,,avancé,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Qgis;pour la production de cartes,,Oui,,X,,X,X,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"Qgis;production de cartes,Calc;établissement de bases de données de qualité",,Oui,,,X,,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"Qgis,Calc",,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
57,65,14335925,09/12/2022 - 13:20,09/12/2022 - 13:20,09/12/2022 - 13:20,0,0.0.0.0,0,Anonymous,DDT57,SABE,Oui,,,X,,débutant,débutant,débutant,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
58,66,14336841,09/12/2022 - 14:01,09/12/2022 - 14:01,09/12/2022 - 14:01,0,0.0.0.0,0,Anonymous,DDT57,SABE,Oui,,,X,,jamais utilisé,débutant,avancé,avancé,avancé,débutant,jamais utilisé,avancé,jamais utilisé,Non,,outils internes,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
59,67,14337441,09/12/2022 - 14:23,09/12/2022 - 14:23,09/12/2022 - 14:23,0,0.0.0.0,0,Anonymous,DDT57,OTP,Oui,,X,X,,avancé,avancé,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"Infocentre;pour des requêtes particulières,excel;perfectionnement,calc;perfectionnement",insee,Oui,,X,,,,avancé,débutant,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;idem question précédente,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
60,68,14338060,09/12/2022 - 14:46,09/12/2022 - 14:46,09/12/2022 - 14:46,0,0.0.0.0,0,Anonymous,DDT88,SE,Oui,,,X,,débutant,débutant,avancé,débutant,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,Oui,outils web,,Oui,,,X,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,calc,,Oui,,X,,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,calc,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
61,69,14338928,09/12/2022 - 15:19,09/12/2022 - 15:19,09/12/2022 - 15:19,0,0.0.0.0,0,Anonymous,DREAL,STECCLA,Oui,,,X,,avancé,jamais utilisé,avancé,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Access,,Oui,,X,,X,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,;traiter des extractions,,Non,Oui,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
62,70,14340093,09/12/2022 - 15:58,09/12/2022 - 15:58,09/12/2022 - 15:58,0,0.0.0.0,0,Anonymous,DDT88,BDM,Oui,,X,X,,débutant,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,X,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Non,,,Non,Non,,,,,,,,,,,Oui,,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,1
63,71,14341461,09/12/2022 - 16:58,09/12/2022 - 16:58,09/12/2022 - 16:58,0,0.0.0.0,0,Anonymous,DDT51,SE,Oui,,,X,X,avancé,avancé,avancé,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,Access;mise en place d'une base de donnée,,Oui,,X,X,X,X,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,Oui,Access;traiter des données,,Non,Non,,,,,,,,,,,,,,Oui,,avancé,jamais utilisé,débutant,débutant,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
64,72,14342901,09/12/2022 - 18:44,09/12/2022 - 18:44,09/12/2022 - 18:44,0,0.0.0.0,0,Anonymous,DDT88,SUH,Oui,,X,,,jamais utilisé,jamais utilisé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS;pour mise à jour,,Oui,,,,X,,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,avancé,,,,,Non,,,Non,Non,,,,,,,,,,,,,,,1
65,73,14350009,10/12/2022 - 23:15,10/12/2022 - 23:15,10/12/2022 - 23:15,0,0.0.0.0,0,Anonymous,DREAL,UD,Oui,,,X,,débutant,jamais utilisé,avancé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,;je ne connais pas suffisamment les outils pour évaluer mon besoin.,,Oui,,,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
66,74,14356339,12/12/2022 - 07:33,12/12/2022 - 07:33,12/12/2022 - 07:33,0,0.0.0.0,0,Anonymous,DDT88,SUH,Non,Non,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
67,75,14356446,12/12/2022 - 07:53,12/12/2022 - 07:53,12/12/2022 - 07:53,0,0.0.0.0,0,Anonymous,DREAL,SPRNH,Oui,,X,X,X,avancé,débutant,avancé,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,outils métier,Oui,,X,X,X,X,avancé,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,débutant,Oui,Python,outils métier,Oui,,X,X,,,avancé,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,avancé,jamais utilisé,débutant,jamais utilisé,débutant,jamais utilisé,débutant,Non,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
68,76,14358973,12/12/2022 - 10:17,12/12/2022 - 10:17,12/12/2022 - 10:17,0,0.0.0.0,0,Anonymous,DDT67,AT,Oui,,,X,X,avancé,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,Non,,outils internes,Oui,,X,X,X,X,avancé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,Python;réaliser des automatisations en lignes de commandes pour des traitements de données lourds,Outils internes;en batch par exemple pour convertir des référentiels rasters tif en dalles en format monodalle Gpkg,Oui,,X,X,X,X,avancé,avancé,débutant,jamais utilisé,avancé,jamais utilisé,Non,,geoide,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,avancé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,avancé,débutant,jamais utilisé,avancé,débutant,Oui,python,,Oui,,,X,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,débutant,Non,,,1
69,77,14359887,12/12/2022 - 10:52,12/12/2022 - 10:52,12/12/2022 - 10:52,0,0.0.0.0,0,Anonymous,DREAL,SPRNH,Oui,,,,X,débutant,débutant,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
70,78,14360137,12/12/2022 - 11:03,12/12/2022 - 11:03,12/12/2022 - 11:03,0,0.0.0.0,0,Anonymous,DREAL,SEBP,Oui,,,X,,expert,avancé,expert,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,access,,Oui,,,X,,X,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,"QGIS,MapInfo",,Non,Non,,,,,,,,,,,,,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,Oui,data grand est,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
71,79,14364721,12/12/2022 - 14:31,12/12/2022 - 14:31,12/12/2022 - 14:31,0,0.0.0.0,0,Anonymous,DDT08,SLU,Oui,,,X,X,avancé,avancé,expert,expert,avancé,débutant,jamais utilisé,débutant,avancé,Oui,PgAdmin,,Oui,,X,X,X,X,expert,expert,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,R,,Non,Non,,,,,,,,,,,,,,Oui,,expert,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,jamais utilisé,Non,,,Non,Oui,,,,expert,jamais utilisé,jamais utilisé,jamais utilisé,,,,,Non,Oui,,,,,,,,,,,,,,,1
72,80,14366461,12/12/2022 - 15:38,12/12/2022 - 15:38,12/12/2022 - 15:38,0,0.0.0.0,0,Anonymous,DREAL,ST,Oui,,,X,,jamais utilisé,jamais utilisé,expert,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,X,expert,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
73,81,14368066,12/12/2022 - 16:44,12/12/2022 - 16:44,12/12/2022 - 16:44,0,0.0.0.0,0,Anonymous,DDT51,SHVD,Oui,,X,X,X,débutant,débutant,avancé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,Oui,Qgis;pour créer des cartes pour les porter à connaissance et les différents avis sur les documents de planification.,,Oui,,,X,X,X,avancé,débutant,débutant,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,QGIS,geokit,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
74,82,14374565,13/12/2022 - 08:56,13/12/2022 - 08:56,13/12/2022 - 08:56,0,0.0.0.0,0,Anonymous,DDT54,ERC,Oui,,X,X,X,avancé,avancé,avancé,expert,débutant,débutant,jamais utilisé,expert,jamais utilisé,Non,,RStudio,Oui,,X,X,X,X,avancé,expert,avancé,jamais utilisé,débutant,jamais utilisé,débutant,débutant,débutant,Oui,R,,Oui,,X,X,X,X,avancé,expert,jamais utilisé,débutant,avancé,jamais utilisé,Non,,,Oui,,avancé,jamais utilisé,jamais utilisé,débutant,expert,jamais utilisé,jamais utilisé,Non,,,Oui,,X,X,X,débutant,jamais utilisé,jamais utilisé,avancé,jamais utilisé,Oui,R,,Oui,,X,X,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,RShiny,,1
75,83,14374873,13/12/2022 - 09:16,13/12/2022 - 09:16,13/12/2022 - 09:16,0,0.0.0.0,0,Anonymous,DDT88,SEAF,Oui,,X,X,X,jamais utilisé,jamais utilisé,avancé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Non,,telepac,Oui,,X,X,X,X,avancé,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,débutant,débutant,jamais utilisé,Non,,,Oui,,X,X,,,avancé,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Non,,,Oui,,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
76,84,14383443,13/12/2022 - 16:01,13/12/2022 - 16:01,13/12/2022 - 16:01,0,0.0.0.0,0,Anonymous,DREAL,SPRNH,Oui,,,X,X,débutant,débutant,avancé,avancé,débutant,débutant,jamais utilisé,jamais utilisé,avancé,Non,,"autostep,access",Oui,,X,X,X,X,avancé,avancé,débutant,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
77,85,14391780,14/12/2022 - 10:14,14/12/2022 - 10:14,14/12/2022 - 10:14,0,0.0.0.0,0,Anonymous,DDT55,SE,Oui,,,X,,débutant,jamais utilisé,débutant,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,isis,Oui,,,,,,débutant,avancé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
78,86,14391879,14/12/2022 - 10:19,14/12/2022 - 10:19,14/12/2022 - 10:19,0,0.0.0.0,0,Anonymous,DDT55,SUH,Oui,,,,X,débutant,débutant,avancé,jamais utilisé,avancé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"géo-ide,DataGrandEst,Observatoires",,Oui,,,X,X,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,avancé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,Access,,Non,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,1
79,87,14392001,14/12/2022 - 10:26,14/12/2022 - 10:26,14/12/2022 - 10:26,0,0.0.0.0,0,Anonymous,DDT55,SE,Oui,,X,X,,jamais utilisé,débutant,débutant,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"QGIS,Calc,Access,Géo-IDe",,Oui,,X,,,,débutant,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,Oui,"Calc,Qgis,Access",,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,1
80,88,14392205,14/12/2022 - 10:36,14/12/2022 - 10:36,14/12/2022 - 10:36,0,0.0.0.0,0,Anonymous,DDT55,SE,Oui,,,X,,jamais utilisé,jamais utilisé,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,CALC;FORMULE,GEOPORTAIL,Oui,,,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,ACCES,,Oui,,,X,,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"ACCES,CALC",,Oui,,avancé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,"CALC,ACCES",,Oui,,,X,,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Oui,CALC;STAT LOUP FAUNE SAUVAGE,CALC,Non,Non,,,,,,,,,,,,,,,1
81,89,14392504,14/12/2022 - 10:54,14/12/2022 - 10:54,14/12/2022 - 10:54,0,0.0.0.0,0,Anonymous,DDT,SCDT,Oui,,X,X,,débutant,débutant,débutant,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Oui,,,,X,X,avancé,jamais utilisé,jamais utilisé,jamais utilisé,débutant,jamais utilisé,jamais utilisé,jamais utilisé,jamais utilisé,Non,,,Non,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,Non,Non,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,
